date,value
2008-06-30,0.6
2008-09-30,-0.1
2008-12-31,-1.7
2009-03-31,-3.9
2009-06-30,-3.4
2009-09-30,-3.0
2009-12-31,-0.8
2010-03-31,1.2
2010-06-30,1.7
2010-09-30,2.2
2010-12-31,2.2
2011-03-31,2.8
2011-06-30,2.3
2011-09-30,2.1
2011-12-31,1.6
2012-03-31,0.6
2012-06-30,0.6
2012-09-30,0.3
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.9
2013-09-30,0.5
2013-12-31,1.3
2014-03-31,1.2
2014-06-30,0.7
2014-09-30,1.3
2014-12-31,0.6
2015-03-31,1.2
2015-06-30,1.2
2015-09-30,0.8
2015-12-31,1.1
2016-03-31,1.2
2016-06-30,0.8
2016-09-30,0.8
2016-12-31,1.2
2017-03-31,1.3
2017-06-30,2.4
2017-09-30,3.0
2017-12-31,3.0
2018-03-31,2.3
2018-06-30,2.0
2018-09-30,1.5
2018-12-31,1.5
2019-03-31,2.1
2019-06-30,2.4
2019-09-30,2.0
2019-12-31,1.1
2020-03-31,-5.2
2020-06-30,-18.6
2020-09-30,-3.6
2020-12-31,-4.2
2021-03-31,1.5
2021-06-30,18.7
2021-09-30,3.6
2021-12-31,5.1
2022-03-31,4.8
2022-06-30,4.2
2022-09-30,1.0
2022-12-31,0.5
2023-03-31,0.8
2023-05-31,0.9
2023-06-30,0.9
2023-09-30,0.9

