DATE,FPCPITOTLZGAUS
1960-01-01,3.72881355932205
1961-01-01,2.2875816993464
1962-01-01,-0.319488817891384
1963-01-01,0.641025641025639
1964-01-01,2.86624203821656
1965-01-01,3.40557275541798
1966-01-01,3.29341317365269
1967-01-01,3.47826086956521
1968-01-01,2.52100840336133
1969-01-01,3.27868852459017
1970-01-01,3.43915343915344
1971-01-01,6.13810741687979
1972-01-01,6.02409638554218
1973-01-01,9.09090909090911
1974-01-01,15.4166666666667
1975-01-01,15.1624548736462
1976-01-01,13.3228840125392
1977-01-01,12.3098201936376
1978-01-01,8.00492610837437
1979-01-01,9.12200684150512
1980-01-01,10.1358411703239
1981-01-01,9.48766603415561
1982-01-01,11.3518197573657
1983-01-01,10.0389105058366
1984-01-01,3.96039603960395
1985-01-01,6.73469387755101
1986-01-01,9.05035054174635
1987-01-01,8.53302162478083
1988-01-01,7.21593968766826
1989-01-01,7.53390256152692
1990-01-01,7.33302195235869
1991-01-01,3.17667536988686
1992-01-01,1.01223112610711
1993-01-01,1.75365344467641
1994-01-01,1.96963479688142
1995-01-01,4.62776659959758
1996-01-01,2.61538461538462
1997-01-01,0.224887556221881
1998-01-01,0.860134629768157
1999-01-01,1.48312940304038
2000-01-01,4.45743514797225
2001-01-01,4.4071353620147
2002-01-01,2.98157453936349
2003-01-01,2.73259596616783
2004-01-01,2.34325522482587
2005-01-01,2.69183168316831
2006-01-01,3.55528773727028
2007-01-01,2.32761128891476
2008-01-01,4.35029854990047
2009-01-01,1.77111716621252
2010-01-01,2.91834002677376
2011-01-01,3.30385015608744
2012-01-01,1.76278015613193
2013-01-01,2.44988864142539
2014-01-01,2.48792270531403
2015-01-01,1.50836672165921
2016-01-01,1.27699094497328
2017-01-01,1.94864740944522
2018-01-01,1.91140094445692
2019-01-01,1.61076787290379
2020-01-01,0.846905537459293
2021-01-01,2.86391042204995
2022-01-01,2.86391042204995
2023-01-01,2.86391042204995
