DATE,LMUNRRTTCHQ156N
2008-04-01,2.42820601433333
2008-07-01,2.38309988966667
2008-10-01,2.76062827333333
2009-01-01,3.340479711
2009-04-01,3.48020651033333
2009-07-01,3.80546719
2009-10-01,4.178950295
2010-01-01,3.96952754666667
2010-04-01,3.50163937
2010-07-01,3.27904183666667
2010-10-01,3.31312390333333
2011-01-01,3.29265153
2011-04-01,2.68731700666667
2011-07-01,2.56179167333333
2011-10-01,2.82949782666667
2012-01-01,3.03702831666667
2012-04-01,2.75190329666667
2012-07-01,2.74864930333333
2012-10-01,3.08367139666667
2013-01-01,3.33998087666667
2013-04-01,3.03530107666667
2013-07-01,3.00372504666667
2013-10-01,3.25362679
2014-01-01,3.30395667
2014-04-01,2.92311866333333
2014-07-01,2.85949729
2014-10-01,3.08847043
2015-01-01,3.30848197666667
2015-04-01,3.04706015666667
2015-07-01,3.03390709
2015-10-01,3.32380867333333
2016-01-01,3.56375383
2016-04-01,3.21552775666667
2016-07-01,3.15171359666667
2016-10-01,3.36156917666667
2017-01-01,3.42640725
2017-04-01,3.01768009
2017-07-01,2.89519926666667
2017-10-01,3.01094310666667
2018-01-01,3.04497314666667
2018-04-01,2.41404054
2018-07-01,2.30460228666667
2018-10-01,2.42624907666667
2019-01-01,2.55801212333333
2019-04-01,2.19933428666667
2019-07-01,2.12986513
2019-10-01,2.33882671
2020-01-01,2.69237822333333
2020-04-01,3.30522097666667
2020-07-01,3.22498830333333
2020-10-01,3.35003595
2021-01-01,3.56387231333333
2021-04-01,3.06339413
2021-07-01,2.69571435666667
2021-10-01,2.55031195666667
2022-01-01,2.51459946666667
2022-04-01,2.1259796
2022-07-01,1.97488688333333
2022-10-01,1.97488688333333
2023-01-01,1.97488688333333
