DATE,FPCPITOTLZGCHE
1960-01-01,1.43879470321088
1961-01-01,1.84539787448659
1962-01-01,4.31599287754383
1963-01-01,3.44021288042956
1964-01-01,3.08055687101811
1965-01-01,3.41447860846184
1966-01-01,4.77597959563687
1967-01-01,4.00519621563876
1968-01-01,2.39582226957012
1969-01-01,2.48903598959381
1970-01-01,3.61598678629519
1971-01-01,6.5732211192579
1972-01-01,6.6600070416024
1973-01-01,8.7546703302464
1974-01-01,9.76741431913023
1975-01-01,6.69659522507834
1976-01-01,1.71547632285655
1977-01-01,1.29599916278317
1978-01-01,1.02879289487424
1979-01-01,3.64764010558788
1980-01-01,4.0225008483901
1981-01-01,6.49030964005712
1982-01-01,5.65510182392343
1983-01-01,2.94979443545727
1984-01-01,2.93145669136628
1985-01-01,3.43539935298264
1986-01-01,0.750309839410771
1987-01-01,1.44032188041728
1988-01-01,1.8724685973187
1989-01-01,3.15526979710905
1990-01-01,5.40395909218942
1991-01-01,5.85959663468672
1992-01-01,4.03703020778741
1993-01-01,3.29262180313608
1994-01-01,0.852116995120689
1995-01-01,1.79982776867147
1996-01-01,0.811634064628214
1997-01-01,0.520225422736623
1998-01-01,0.017938437843963
1999-01-01,0.806444380959444
2000-01-01,1.55852919679006
2001-01-01,0.989020329832555
2002-01-01,0.64271150654328
2003-01-01,0.638272930887213
2004-01-01,0.802908730955216
2005-01-01,1.17195420333701
2006-01-01,1.05950928324804
2007-01-01,0.732350603122241
2008-01-01,2.42604117060162
2009-01-01,-0.480481936423328
2010-01-01,0.688238707220017
2011-01-01,0.231349207650894
2012-01-01,-0.692552018105236
2013-01-01,-0.217323155115639
2014-01-01,-0.013202538751599
2015-01-01,-1.14390867228178
2016-01-01,-0.434618664285843
2017-01-01,0.533787839825886
2018-01-01,0.936335464113605
2019-01-01,0.362886179940635
2020-01-01,-0.725874933313391
2021-01-01,0.581814168489875
2022-01-01,0.581814168489875
2023-01-01,0.581814168489875
